cod_cliente,clt_tipo_contac,clt_contac
84171214,1,yuridia75@hotmail.com
84171214,2,4495752089102
84171214,3,9301611422406
84120571,1,ecovarrubias@yahoo.com
84120571,2,1840973780161
84120571,3,8761028832171
84120571,4,5958030335554
84120571,5,9191896441795
15029096,1,fmunoz@gmail.com
15029096,2,2510351812399
15029096,3,3231372434439
15029096,4,9269294785431
94642452,1,claudia45@hotmail.com
37872762,1,barbara54@hotmail.com
37872762,2,6394758994623
37872762,3,7525502097698
23687158,1,alonsoleyva@yahoo.com
06667528,1,arcemagdalena@gmail.com
06667528,2,4311623142253
32989168,1,aida99@yahoo.com
49204483,1,nflores@hotmail.com
49204483,2,8444067217851
71496252,1,wguzman@yahoo.com
71496252,2,5160540792171
71496252,3,2703745032955
71496252,4,4848242451927
71496252,5,8328348086114
30267435,1,marisela29@hotmail.com
30267435,2,5512047439347
30267435,3,9275781261936
46262462,1,carlos08@gmail.com
46262462,2,9188329506066
46262462,3,2888077946213
46262462,4,3724505408566
80780427,1,ufeliciano@gmail.com
80780427,2,5039338014131
80780427,3,0843502513484
80780427,4,3540171721657
80780427,5,4048328850193
46172860,1,linaresgilberto@gmail.com
46172860,2,6732683703291
46172860,3,0852092414512
46172860,4,3142731046617
46172860,5,9914238177149
19929484,1,alfonsoalonzo@gmail.com
62964111,1,eveliovillagomez@gmail.com
62964111,2,1008815437782
09631038,1,alicia68@gmail.com
09631038,2,0567166186647
02630342,1,roloncarolina@yahoo.com
02630342,2,6431656788654
02630342,3,0957353532109
68121020,1,celiarazo@gmail.com
68121020,2,7976972071969
68121020,3,8810305426584
95738987,1,florencia05@hotmail.com
95738987,2,4172142473395
35833284,1,citlali80@gmail.com
35833284,2,2882890901778
35833284,3,9360455407767
35833284,4,7476363573630
35833284,5,0104055325633
02823898,1,kcalvillo@gmail.com
02823898,2,7615689478711
02823898,3,0886834477203
27279816,1,rasconsonia@yahoo.com
27279816,2,6975753520950
27279816,3,4880049375975
27279816,4,9115036709611
34257814,1,roblessoledad@hotmail.com
34257814,2,9359457560923
01046892,1,citlali86@gmail.com
01046892,2,1042863381743
01046892,3,1531033377691
01046892,4,2159834347911
01046892,5,7526654329595
20445683,1,vegajose-carlos@yahoo.com
20445683,2,4831767564311
20445683,3,7396365977498
20445683,4,7152374179621
20445683,5,1381370472307
76195235,1,roberto22@hotmail.com
76195235,2,3233429795775
76195235,3,7144852887775
76195235,4,9805398118869
76195235,5,0231974977409
73293620,1,jesus73@gmail.com
73293620,2,3716732625671
73293620,3,7621200553069
88359090,1,humbertotapia@gmail.com
88359090,2,2100102737918
88359090,3,8046141192451
32677164,1,valladaresruben@gmail.com
32677164,2,6975834008556
32677164,3,7451317228110
20179366,1,del-riogabriel@hotmail.com
20179366,2,5314592925170
20179366,3,5902721819139
75388102,1,jacinto18@gmail.com
75388102,2,2743045224239
75388102,3,6272340089224
49881646,1,norma76@yahoo.com
38870026,1,karlavilla@yahoo.com
38870026,2,2483792136855
38870026,3,6667640956549
59115496,1,negreteelias@yahoo.com
59115496,2,8858306448101
59115496,3,2510569748757
32521603,1,javier84@gmail.com
32521603,2,8984206955948
32521603,3,9754849172025
32521603,4,8459978680944
62067911,1,fmarroquin@hotmail.com
62067911,2,9618117407260
62067911,3,7335253407618
62067911,4,4036968129999
62067911,5,0763520405412
53739612,1,mgodinez@yahoo.com
74965670,1,cortezrafael@hotmail.com
74965670,2,1598244024872
73293804,1,alfaroelvia@gmail.com
73293804,2,1197263201849
95595900,1,fbalderas@gmail.com
95595900,2,4566910921707
95595900,3,9139805862817
95595900,4,5775235377473
86868150,1,sbueno@gmail.com
86868150,2,2846926466534
86868150,3,4607538940942
09869615,1,amalia81@hotmail.com
09869615,2,6545256620585
88501529,1,coronaflavio@gmail.com
88501529,2,6998095294206
16448537,1,ramongustavo@yahoo.com
16448537,2,5161312119375
16448537,3,8487052592059
89476420,1,lealalonso@gmail.com
89476420,2,1226653664301
89476420,3,3651434812811
89476420,4,6421692319301
48610964,1,susana15@hotmail.com
48610964,2,5101832527548
48610964,3,2635483468938
48610964,4,6494147712837
48610964,5,1607856173596
72862582,1,evelasco@hotmail.com
34393536,1,upadilla@gmail.com
34393536,2,0169857837710
34393536,3,0504296101870
34393536,4,2581382509794
34393536,5,7396376238124
25427028,1,arriagacecilia@hotmail.com
75085865,1,bsotelo@gmail.com
09819139,1,badilloluisa@gmail.com
74351343,1,ucamarillo@gmail.com
29085972,1,ichacon@hotmail.com
29085972,2,5433107253612
29085972,3,7406328468856
29085972,4,3547250544612
29085972,5,3739623932535
34112335,1,gabriela23@gmail.com
34112335,2,2666607182069
