cod_cliente,clt_nombre,clit_apellido_paterno,clit_apellido_materno,clt_fec_nac,clt_direcc,clt_sexo,clt_pais_nac,clt_nacionalidad,clt_tipo,clt_razon_social,clt_fec_constitucion
84171214,Irma,Mireles,Rodrígez,1956-10-10,Corredor Omán 592 414 -- San Tomás de la Montaña --  NAY 13872-3654,M,México,México,1,,
84120571,Paola,Olivas,Casillas,1957-06-16,Eje vial Chiapas 443 Interior 197 -- Vieja Reino Unido de Gran Bretaña e Irlanda del Norte --  COL 49050,M,México,México,1,,
15029096,Concepción,Melgar,Robles,1980-03-30,Ampliación Norte Alba 671 242 -- San Gilberto de la Montaña --  JAL 97274-0764,M,México,México,1,,
94642452,Gilberto,Preciado,Mejía,1916-10-11,Viaducto Montenegro 816 321 -- San Guadalupe de la Montaña --  SLP 46661,M,México,México,1,,
37872762,María,Molina,Brito,1962-04-24,Corredor República de Moldova 026 Interior 832 -- Vieja Eslovenia --  OAX 17390,M,México,México,1,,
23687158,Leonardo,Ramos,Crespo,1950-07-25,Circunvalación Baja California Sur 390 Interior 118 -- Nueva Hungría --  COL 08264-9284,M,México,México,1,,
06667528,Micaela,Pantoja,Fierro,1928-04-17,Avenida Quintana Roo 294 Edif. 877  --  Depto. 733 -- San Cornelio los altos --  Q. ROO 91210-3597,M,México,México,1,,
32989168,Yolanda,Olmos,Hurtado,1939-01-10,Privada Durango 872 Edif. 959  --  Depto. 131 -- San José Manuél los bajos --  SLP 51256,M,México,México,1,,
49204483,Mitzy,Echeverría,Villagómez,1911-03-12,Circunvalación Leal 900 Interior 071 -- San Iván los altos --  DF 86093-3991,M,México,México,1,,
71496252,Alejandro,Lugo,Martínez,1956-12-13,Boulevard Ojeda 143 584 -- San Dulce María los altos --  PUE 70166,M,México,México,1,,
30267435,Espartaco,Valdez,Solís,1952-06-28,Retorno Blanco 185 Interior 016 -- San Estela los bajos --  OAX 98184-0785,M,México,México,1,,
46262462,Nancy,Montenegro,Chávez,1951-08-02,Continuación Michoacán de Ocampo 213 Edif. 690  --  Depto. 570 -- San Margarita los altos --  ZAC 77594-1858,M,México,México,1,,
80780427,Ignacio,Valadez,Bonilla,1966-04-12,Pasaje Sur Páez 047 Edif. 239  --  Depto. 673 -- San Eugenia los bajos --  COAH 14416,M,México,México,1,,
46172860,Alejandra,Oquendo,Paz,1933-10-14,Circuito Rico 925 Edif. 159  --  Depto. 748 -- San Anel los bajos --  DF 89069,M,México,México,1,,
19929484,Salvador,Miramontes,Muñoz,1991-03-18,Corredor Eslovaquia 083 Interior 176 -- San Iván de la Montaña --  PUE 34291-8785,M,México,México,1,,
62964111,Alberto,Nevárez,Gil,1977-07-23,Ampliación Oaxaca 089 Edif. 028  --  Depto. 221 -- Vieja Antigua y Barbuda --  QRO 06838-9430,M,México,México,1,,
09631038,Elvira,Guardado,Ybarra,1940-10-21,Ampliación Suárez 407 553 -- San María José de la Montaña --  CHIH 06353-8224,M,México,México,1,,
02630342,Emilia,Otero,Abreu,1988-05-26,Viaducto Chiapas 481 Interior 275 -- San Leonardo los bajos --  Q. ROO 09671-3755,M,México,México,1,,
68121020,Miguel,Tirado,Medina,1983-05-15,Retorno Palau 856 Edif. 700  --  Depto. 582 -- Nueva Países Bajos --  TLAX 36339-4633,M,México,México,1,,
95738987,Esperanza,Rosado,Tórrez,1941-07-21,Eje vial Sur Solís 741 Interior 206 -- Vieja Jordania --  BC 82842-9397,M,México,México,1,,
35833284,Rebeca,Cornejo,Sanches,1966-03-13,Periférico Pérez 364 972 -- San María Eugenia los altos --  BCS 62050-8487,M,México,México,1,,
02823898,Adalberto,Rosas,Pelayo,1922-09-14,Eje vial Sur de León 680 Interior 108 -- Vieja Santa Lucía --  TAB 86308-7419,M,México,México,1,,
27279816,Dalia,Menchaca,Castillo,1942-11-11,Corredor Páez 029 Edif. 598  --  Depto. 503 -- Nueva Yemen --  GRO 79799,M,México,México,1,,
34257814,Sandra,Becerra,López,1970-12-27,Continuación Bétancourt 089 Edif. 301  --  Depto. 872 -- Vieja Portugal --  MEX 89507,M,México,México,1,,
01046892,Cornelio,Melgar,Valencia,1939-09-14,Prolongación Swazilandia 158 Edif. 347  --  Depto. 245 -- San Karina los bajos --  COL 02040-9745,M,México,México,1,,
20445683,Liliana,Alba,Amaya,1951-08-25,Callejón Sur Ruiz 517 580 -- Vieja Países Bajos --  HGO 78972-5563,M,México,México,1,,
76195235,Darío,Páez,Valladares,1911-06-06,Prolongación Kuwait 255 404 -- San Gustavo de la Montaña --  CAMP 77249-7226,M,México,México,1,,
73293620,Micaela,Cedillo,Marín,1974-12-20,Callejón Negrete 691 808 -- San Marco Antonio los altos --  GRO 08432-8851,M,México,México,1,,
88359090,Paulina,Razo,Preciado,1943-07-31,Ampliación Norte Batista 754 Edif. 574  --  Depto. 268 -- Nueva Ecuador --  NL 45562-9633,M,México,México,1,,
32677164,Angélica,Calderón,Coronado,1923-12-08,Cerrada Sur Briones 859 929 -- Nueva Kuwait --  CHIH 76643,M,México,México,1,,
20179366,Delia,Aranda,Hidalgo,1937-08-25,Ampliación Nuevo León 876 Edif. 022  --  Depto. 977 -- Vieja República Checa --  Q. ROO 70325-6651,M,México,México,1,,
75388102,Jaqueline,Cadena,Ulibarri,2003-02-13,Viaducto Prado 492 Edif. 033  --  Depto. 010 -- San Clara los bajos --  NL 15929-1210,M,México,México,1,,
49881646,María Luisa,Valles,Espinosa,1921-06-09,Boulevard Costa Rica 082 Edif. 439  --  Depto. 360 -- Nueva Alemania --  BCS 95576,M,México,México,1,,
38870026,Claudia,Echeverría,Ruiz,1909-01-21,Boulevard Somalia 556 Interior 662 -- Vieja República Centroafricana --  SON 15940-0253,M,México,México,1,,
59115496,José Luis,Peres,Córdova,1906-06-14,Corredor Sur Munguía 468 Edif. 646  --  Depto. 682 -- San Gloria los altos --  AGS 49123,M,México,México,1,,
32521603,Gabino,Zamora,Saldivar,1922-02-20,Boulevard Alvarez 212 Interior 996 -- San Luz los bajos --  BCS 97423-7130,M,México,México,1,,
62067911,Evelio,Delgado,Calvillo,1967-05-19,Avenida Campeche 075 Interior 464 -- Vieja Italia --  SIN 04184-6704,M,México,México,1,,
